id;measurement;tags;field;meh;skal;dez
30001;kessel;messwert=ist,location=brenner;temperatur;°C;2;0
30002;kessel;messwert=ist,location=abgas;temperatur;°C;1;0
30004;kessel;messwert=ist,location=brenner;restsauerstoffgehalt;%;10;1
30007;kessel;messwert=ist,location=saugzug;drehzahl;upm;1;0
30021;kessel;messwert=ist;betriebsstunden;h;1;0
30022;kessel;messwert=ist,location=pelletsbehaelter;fuellstand;%;207;1
30023;kessel;messwert=ist,location=brenner;anzahl-starts;;1;0
30029;puffer;messwert=ist,location=solarfuehler-unten;temperatur;°C;2;0
30056;kessel;messwert=ist;stunden-seit-letzter-wartung;h;1;0
30063;kessel;messwert=ist;stunden-im-pelletsbetrieb;h;1;0
30082;kessel;messwert=ist,location=pelletsbehaelter;resetierbarer-kg-zaehler;kg;1;0
30083;kessel;messwert=ist,location=pelletsbehaelter;resetierbarer-t-zaehler;t;1;0
30084;pelletslager;messwert=ist;pelletsverbrauch-gesamt;t;10;1
30087;kessel;messwert=ist,location=aschebehaelter;verbleibende-heizstunden-bis-leerung;h;1;0
31001;außenfuehler;messwert=ist,location=nordseite;temperatur;°C;2;0
31031;heizkreislauf-1;messwert=ist,location=vorlauf;temperatur;°C;2;0
31032;heizkreislauf-1;messwert=soll,location=vorlauf;temperatur;°C;2;0
31033;heizkreislauf-1;messwert=ist,location=raum;temperatur;°C;2;0
31061;heizkreislauf-2;messwert=ist,location=vorlauf;temperatur;°C;2;0
31062;heizkreislauf-2;messwert=soll,location=vorlauf;temperatur;°C;2;0
31063;heizkreislauf-2;messwert=ist,location=raum;temperatur;°C;2;0
31631;boiler;messwert=ist,location=oben;temperatur;°C;2;0
31632;boiler;messwert=ist,location=solarreferenz;temperatur;°C;2;0
32001;puffer;messwert=ist,location=oben;temperatur;°C;2;0
32002;puffer;messwert=ist,location=mitte;temperatur;°C;2;0
32003;puffer;messwert=ist,location=unten;temperatur;°C;2;0
32004;puffer;messwert=ist,location=kesselladepumpe;ansteuerung;%;1;0
32007;puffer;messwert=ist;ladezustand;%;1;0
32008;puffer;messwert=ist,location=solarfuehler-oben;temperatur;°C;2;0
32601;solar;messwert=ist,location=kollektorpumpe;ansteuerung;%;1;0
32602;solar;messwert=ist,location=kollektor;temperatur;°C;2;0
32603;solar;messwert=ist,location=kollektorpumpe;laufzeit;h;1;0
32604;solar;messwert=ist,location=kollektor-ruecklauf;temperatur;°C;2;0
32608;solar;messwert=ist,location=ventil;zustand;%;1;0
