id;measurement;tags;field
33001;anlage;messwert=ist;fehler-01
33002;anlage;messwert=ist;fehler-02
33003;anlage;messwert=ist;fehler-03
33004;anlage;messwert=ist;fehler-04
33005;anlage;messwert=ist;fehler-05
33006;anlage;messwert=ist;fehler-06
33007;anlage;messwert=ist;fehler-07
33008;anlage;messwert=ist;fehler-08
33009;anlage;messwert=ist;fehler-09
33010;anlage;messwert=ist;fehler-10
33011;anlage;messwert=ist;fehler-11
33012;anlage;messwert=ist;fehler-12
33013;anlage;messwert=ist;fehler-13
33014;anlage;messwert=ist;fehler-14
33015;anlage;messwert=ist;fehler-15
33016;anlage;messwert=ist;fehler-16
33017;anlage;messwert=ist;fehler-17
33018;anlage;messwert=ist;fehler-18
33019;anlage;messwert=ist;fehler-19
33020;anlage;messwert=ist;fehler-20
